platform_name,platform_ID,IND,home_country,developer_portal_url,num_host_countries
SAS Group,TR146,Travel Modes,Sweden,,12
"SATA SGPS, Grupo",TR147,Travel Modes,Portugal,,1
Safair Operations (Pty) Ltd,TR144,Travel Modes,South Africa,,1
Saudi Arabian Airlines Corp,TR149,Travel Modes,Saudi Arabia,,4
Singapore Airlines Ltd (SIA),TR152,Travel Modes,Singapore,,22
Sky Airline SA,TR153,Travel Modes,Chile,,3
Sky Express,TR154,Travel Modes,Greece,,1
Smartwings as,TR159,Travel Modes,Czech Republic,,5
South African Airlink Ltd,TR160,Travel Modes,South Africa,,1
South African Airways (PTY) Ltd,TR161,Travel Modes,South Africa,,1
Southwest Airlines Co,TR162,Travel Modes,United States,,2
Spirit Airlines Inc,TR164,Travel Modes,United States,,3
Starlux Airlines Co Ltd,TR169,Travel Modes,Taiwan,,1
SunExpress AS,TR172,Travel Modes,Turkey,,2
Sunclass Airlines A/S,TR171,Travel Modes,Denmark,,3
Synergy Group,TR173,Travel Modes,Colombia,,5
"TAP SGPS SA, Grupo",TR174,Travel Modes,Portugal,,3
Tarom SA Cia Nationala de Transporturi Aeriene Romane,TR175,Travel Modes,Romania,,1
Thai Airways International PCL,TR177,Travel Modes,Thailand,,7
Turkish Airlines AS,TR179,Travel Modes,Turkey,,18
United Continental Holdings Inc,TR181,Travel Modes,United States,,11
VietJet Aviation JSC,TR184,Travel Modes,Vietnam,,3
Vietnam Airlines Co Ltd,TR185,Travel Modes,Vietnam,,1
Volotea SA,TR186,Travel Modes,Spain,,5
Vuela Cía de Aviación,TR187,Travel Modes,Mexico,,3
WestJet Airlines Ltd,TR190,Travel Modes,Canada,,1
Wizz Air Hungary Ltd,TR191,Travel Modes,Hungary,,18
easyJet plc,TR67,Travel Modes,United Kingdom,,20
Ankama SARL,VG3,Video Game software,France,,4
ArenaNet LLC,VG5,Video Game software,United States,,3
Astragon Entertainment GmbH,VG8,Video Game software,Germany,,3
Atari SA,VG9,Video Game software,France,,2
BANDAI NAMCO Group,VG12,Video Game software,Japan,,29
ByteDance Ltd,VG20,Video Game software,China,,6
CCP ehf,VG22,Video Game software,Iceland,,6
CD Projekt SA,VG23,Video Game software,Poland,,14
Capcom Co Ltd,VG21,Video Game software,Japan,,20
CyberAgent Inc,VG29,Video Game software,Japan,,2
"Digital Bros SpA, Group",VG33,Video Game software,Italy,,3
Electronic Arts Inc,VG36,Video Game software,United States,,32
Emp Electronics SA,VG38,Video Game software,Greece,,1
Epic Games Inc,VG39,Video Game software,United States,,26
Gamevil Inc,VG56,Video Game software,South Korea,,3
Gamigo Group,VG57,Video Game software,Germany,,8
GungHo Online Entertainment Inc,VG60,Video Game software,Japan,,2
HP Inc,VG66,Video Game software,United States,,46
HTC Corp,VG67,Video Game software,Taiwan,,25
Halfbrick Studios Pty Ltd,VG61,Video Game software,Australia,,8
Hello Games Ltd,VG63,Video Game software,United Kingdom,,3
Hi-Rez Studios Inc,VG64,Video Game software,United States,,7
I Got Games Inc,VG69,Video Game software,China,,3
Jagex Ltd,VG72,Video Game software,United Kingdom,,2
KaKao Corp,VG77,Video Game software,South Korea,,1
Kiloo Group,VG78,Video Game software,Denmark,,2
Koch Media GmbH,VG80,Video Game software,Germany,,4
Koei Tecmo Holdings Co Ltd,VG81,Video Game software,Japan,,2
Konami Corp,VG82,Video Game software,Japan,,20
Krafton Inc,VG83,Video Game software,South Korea,,16
LEGO Group,VG86,Video Game software,Denmark,,32
Machine Zone Inc,VG94,Video Game software,United States,,11
Meta Platforms Inc,VG102,Video Game software,United States,,11
Microsoft Corp,VG103,Video Game software,United States,,40
Mind Candy Ltd,VG105,Video Game software,United Kingdom,,4
Monolith Productions Inc,VG110,Video Game software,United States,,2
Moon Active Ltd,VG111,Video Game software,Israel,,2
NCsoft Corp,VG112,Video Game software,South Korea,,15
NHN Corp,VG119,Video Game software,South Korea,,2
NetEase Inc,VG116,Video Game software,China,,3
Netmarble Corp,VG117,Video Game software,South Korea,,5
Nexon Co Ltd,VG118,Video Game software,Japan,,5
Niantic Inc,VG120,Video Game software,United States,,23
Nintendo Co Ltd,VG122,Video Game software,Japan,,34
Perfect World Co Ltd,VG128,Video Game software,China,,4
Plarium Global Ltd,VG131,Video Game software,Israel,,2
Playrix Entertainment LLC,VG132,Video Game software,Ireland,,4
Psyonix Inc,VG136,Video Game software,United States,,6
Roblox Corp,VG137,Video Game software,United States,,10
Samsung Corp,VG138,Video Game software,South Korea,,47
Scopely Inc,VG140,Video Game software,United States,,2
Sea Ltd,VG143,Video Game software,Singapore,,8
Sega Sammy Holdings Inc,VG146,Video Game software,Japan,,22
Shanghai Lilith Technology Co Ltd,VG148,Video Game software,China,,2
SmileGate Inc,VG149,Video Game software,South Korea,,3
Sony Corp,VG154,Video Game software,Japan,,49
Spin Master Ltd,VG156,Video Game software,Canada,,30
Square Enix Holdings Co Ltd,VG157,Video Game software,Japan,,24
Take-Two Interactive Software Inc,VG162,Video Game software,United States,,30
Tencent Holdings Ltd,VG164,Video Game software,China,,31
Type-Moon Co Ltd,VG166,Video Game software,Japan,,1
Ubisoft Entertainment SA,VG167,Video Game software,France,,26
Valve Corp,VG168,Video Game software,United States,,23
Vivendi SE,VG169,Video Game software,France,,16
"Walt Disney Co, The",VG171,Video Game software,United States,,19
Wargaming Group Ltd,VG172,Video Game software,Cyprus,,15
Warner Bros Entertainment Inc,VG174,Video Game software,United States,,20
Webzen Inc,VG176,Video Game software,South Korea,,2
miHoYo Co Ltd,VG104,Video Game software,China,,5
